CoreLogic RP Data Daily Home Value Index values over last 365 days 31/12/2022 - 01/01/2022,,,,,,

,Combined Dwellings,,,,,
2022-07-26,205.32,169.44,159.25,169.98,110.36,172.15
2022-07-25,205.58,169.60,159.33,169.96,110.33,172.30
2022-07-24,205.75,169.65,159.39,169.95,110.30,172.38
2022-07-23,205.88,169.79,159.81,170.24,110.40,172.55
2022-07-22,206.03,169.86,159.88,170.15,110.38,172.63
2022-07-21,206.18,169.89,159.88,170.13,110.37,172.68
2022-07-20,206.40,169.93,159.84,170.07,110.38,172.77
2022-07-19,206.60,170.00,159.85,169.99,110.38,172.86
2022-07-18,206.78,170.06,159.97,169.98,110.35,172.95
2022-07-17,206.90,170.13,160.02,169.91,110.32,173.02
2022-07-16,207.06,170.22,160.11,169.95,110.39,173.12
2022-07-15,207.26,170.33,160.18,169.90,110.35,173.22
2022-07-14,207.34,170.40,160.21,169.84,110.32,173.27
2022-07-13,207.43,170.47,160.15,169.73,110.34,173.31
2022-07-12,207.56,170.63,160.19,169.66,110.33,173.41
2022-07-11,207.80,170.73,160.23,169.65,110.28,173.52
2022-07-10,208.06,170.81,160.26,169.67,110.25,173.64
2022-07-09,208.54,171.13,160.70,170.07,110.35,174.01
2022-07-08,208.58,171.18,160.65,169.97,110.36,174.03
2022-07-07,208.66,171.22,160.58,169.91,110.33,174.05
2022-07-06,208.67,171.24,160.50,169.83,110.27,174.03
2022-07-05,208.84,171.31,160.55,169.82,110.23,174.12
2022-07-04,208.91,171.34,160.51,169.80,110.19,174.14
2022-07-03,208.98,171.36,160.44,169.67,110.17,174.15
2022-07-02,209.04,171.37,160.41,169.57,110.18,174.17
2022-07-01,209.11,171.39,160.35,169.48,110.17,174.18
2022-06-30,209.16,171.40,160.29,169.41,110.14,174.18
2022-06-29,209.25,171.39,160.25,169.33,110.10,174.20
2022-06-28,209.38,171.55,160.28,169.21,110.05,174.29
2022-06-27,209.55,171.66,160.30,169.16,110.05,174.39
2022-06-26,209.69,171.74,160.41,169.03,110.01,174.47
2022-06-25,209.87,171.78,160.49,169.04,110.06,174.56
2022-06-24,210.02,171.96,160.47,169.17,110.06,174.67
2022-06-23,210.11,171.96,160.40,169.09,110.00,174.68
2022-06-22,210.41,172.11,160.46,168.99,110.03,174.84
2022-06-21,210.53,172.17,160.58,168.90,109.94,174.90
2022-06-20,210.66,172.28,160.63,168.81,109.98,174.99
2022-06-19,210.87,172.41,160.73,168.71,109.96,175.11
2022-06-18,211.03,172.49,160.67,168.60,110.03,175.19
2022-06-17,211.12,172.51,160.68,168.50,110.03,175.23
2022-06-16,211.21,172.57,160.60,168.41,110.04,175.26
2022-06-15,211.30,172.60,160.54,168.33,110.02,175.28
2022-06-14,211.34,172.73,160.56,168.26,109.99,175.33
2022-06-13,211.47,172.80,160.58,168.17,109.97,175.39
2022-06-12,211.58,172.88,160.61,168.08,109.94,175.45
2022-06-11,211.67,172.99,160.63,167.98,109.93,175.51
2022-06-10,211.90,173.12,160.64,168.07,110.00,175.64
2022-06-09,211.98,173.12,160.56,167.97,109.99,175.65
2022-06-08,212.13,173.18,160.58,167.91,109.96,175.72
2022-06-07,212.17,173.21,160.57,167.87,109.90,175.73
2022-06-06,212.27,173.31,160.60,167.78,109.85,175.79
2022-06-05,212.48,173.37,160.49,167.66,109.84,175.86
2022-06-04,212.54,173.37,160.39,167.58,109.84,175.86
2022-06-03,212.55,173.36,160.30,167.48,109.84,175.84
2022-06-02,212.57,173.34,160.18,167.41,109.82,175.82
2022-06-01,212.57,173.33,160.09,167.32,109.78,175.79
2022-05-31,212.51,173.33,159.97,167.22,109.71,175.74
2022-05-30,212.61,173.40,159.94,167.07,109.72,175.78
2022-05-29,212.80,173.51,159.98,166.94,109.73,175.88
2022-05-28,212.81,173.53,160.00,166.91,109.69,175.88
2022-05-27,212.84,173.56,159.91,166.79,109.90,175.91
2022-05-26,212.87,173.60,159.81,166.72,109.89,175.91
2022-05-25,213.01,173.56,159.76,166.58,109.89,175.94
2022-05-24,213.16,173.62,159.70,166.40,109.89,175.99
2022-05-23,213.27,173.67,159.91,166.40,109.72,176.06
2022-05-22,213.39,173.74,159.78,166.32,109.70,176.10
2022-05-21,213.53,173.82,159.78,166.25,109.73,176.17
2022-05-20,213.66,173.84,159.76,166.13,109.74,176.20
2022-05-19,213.64,173.90,159.66,166.08,109.66,176.18
2022-05-18,213.90,173.96,159.93,165.86,109.53,176.29
2022-05-17,213.93,173.99,159.89,165.79,109.49,176.30
2022-05-16,214.03,174.04,159.83,165.76,109.47,176.33
2022-05-15,214.04,174.04,159.82,165.59,109.40,176.32
2022-05-14,214.14,174.18,159.77,165.75,109.45,176.40
2022-05-13,214.24,174.17,159.72,165.58,109.42,176.42
2022-05-12,214.21,174.22,159.62,165.48,109.36,176.39
2022-05-11,214.23,174.23,159.55,165.38,109.31,176.38
2022-05-10,214.58,174.45,159.63,165.30,109.38,176.58
2022-05-09,214.63,174.44,159.51,165.24,109.34,176.56
2022-05-08,214.67,174.47,159.59,165.10,109.31,176.59
2022-05-07,214.81,174.62,159.53,164.94,109.33,176.66
2022-05-06,214.79,174.63,159.44,164.81,109.29,176.63
2022-05-05,214.76,174.60,159.36,164.74,109.22,176.59
2022-05-04,214.72,174.57,159.23,164.63,109.18,176.53
2022-05-03,214.66,174.54,159.12,164.54,109.17,176.48
2022-05-02,214.70,174.52,158.96,164.43,109.14,176.46
2022-05-01,214.67,174.48,158.84,164.29,109.10,176.40
2022-04-30,214.63,174.49,158.73,164.21,109.09,176.37
2022-04-29,214.59,174.44,158.62,164.08,109.04,176.31
2022-04-28,214.59,174.43,158.54,164.06,108.98,176.28
2022-04-27,214.68,174.46,158.42,163.94,108.97,176.29
2022-04-26,214.67,174.49,158.26,163.80,108.89,176.26
2022-04-25,214.64,174.49,158.16,163.72,108.82,176.22
2022-04-24,214.69,174.48,158.13,163.68,108.73,176.22
2022-04-23,214.74,174.52,158.31,163.64,108.75,176.26
2022-04-22,214.65,174.52,158.08,163.52,108.74,176.19
2022-04-21,214.69,174.52,157.95,163.42,108.71,176.18
2022-04-20,214.69,174.51,157.82,163.33,108.65,176.14
2022-04-19,214.67,174.52,157.69,163.22,108.60,176.11
2022-04-18,214.75,174.53,157.65,163.16,108.50,176.12
2022-04-17,214.74,174.55,157.62,163.02,108.56,176.11
2022-04-16,214.78,174.54,157.52,162.85,108.49,176.08
2022-04-15,214.82,174.56,157.40,162.74,108.49,176.08
2022-04-14,214.89,174.54,157.29,162.69,108.38,176.06
2022-04-13,215.01,174.50,157.18,162.57,108.30,176.05
2022-04-12,215.01,174.45,157.12,162.34,108.28,176.01
2022-04-11,215.07,174.47,157.07,162.22,108.29,176.03
2022-04-10,215.13,174.47,156.97,162.07,108.23,176.02
2022-04-09,214.97,174.53,157.19,162.13,108.22,176.00
2022-04-08,215.13,174.54,157.08,162.05,108.19,176.04
2022-04-07,215.14,174.55,156.97,161.97,108.14,176.02
2022-04-06,215.21,174.64,156.86,161.84,108.14,176.05
2022-04-05,215.26,174.66,156.70,161.69,108.02,176.02
2022-04-04,215.24,174.65,156.57,161.56,107.98,175.98
2022-04-03,215.20,174.63,156.44,161.45,107.94,175.93
2022-04-02,215.17,174.61,156.32,161.34,107.93,175.89
2022-04-01,215.15,174.58,156.20,161.25,107.92,175.85
2022-03-31,215.08,174.56,156.09,161.15,107.88,175.79
2022-03-30,215.14,174.53,156.01,161.12,107.92,175.79
2022-03-29,215.16,174.53,155.90,161.04,107.89,175.77
2022-03-28,215.16,174.52,155.81,160.91,107.83,175.74
2022-03-27,215.15,174.61,155.67,160.78,107.78,175.73
2022-03-26,215.24,174.64,155.61,160.62,107.72,175.75
2022-03-25,215.16,174.64,155.56,160.39,107.72,175.69
2022-03-24,215.08,174.66,155.40,160.20,107.71,175.63
2022-03-23,215.18,174.62,155.39,160.04,107.68,175.65
2022-03-22,215.13,174.73,155.14,159.96,107.63,175.61
2022-03-21,215.10,174.67,155.02,159.75,107.58,175.55
2022-03-20,215.09,174.65,154.93,159.72,107.52,175.52
2022-03-19,215.17,174.72,154.79,159.73,107.54,175.55
2022-03-18,215.27,174.71,154.66,159.64,107.53,175.56
2022-03-17,215.14,174.73,154.54,159.56,107.51,175.49
2022-03-16,215.18,174.74,154.43,159.46,107.42,175.48
2022-03-15,215.10,174.71,154.34,159.34,107.38,175.41
2022-03-14,215.20,174.75,154.26,159.20,107.32,175.42
2022-03-13,215.31,174.74,154.19,159.14,107.28,175.44
2022-03-12,215.65,174.71,154.11,159.14,107.35,175.56
2022-03-11,215.61,174.77,154.01,159.05,107.32,175.54
2022-03-10,215.60,174.79,153.88,158.99,107.29,175.51
2022-03-09,215.68,174.75,153.76,158.88,107.18,175.50
2022-03-08,215.65,174.78,153.67,158.74,107.15,175.46
2022-03-07,215.70,174.81,153.68,158.66,107.10,175.49
2022-03-06,215.73,174.88,153.57,158.61,107.07,175.50
2022-03-05,215.76,174.88,153.45,158.61,106.96,175.47
2022-03-04,215.82,174.86,153.32,158.52,106.94,175.46
2022-03-03,215.79,174.83,153.17,158.43,106.92,175.41
2022-03-02,215.71,174.78,153.03,158.34,106.89,175.34
2022-03-01,215.61,174.77,152.89,158.25,106.88,175.27
2022-02-28,215.58,174.74,152.77,158.14,106.83,175.22
2022-02-27,215.61,174.75,152.70,158.02,106.80,175.22
2022-02-26,215.61,174.70,152.59,158.02,106.89,175.21
2022-02-25,215.61,174.69,152.48,157.89,106.88,175.18
2022-02-24,215.54,174.66,152.35,157.72,106.84,175.11
2022-02-23,215.52,174.65,152.30,157.57,106.81,175.08
2022-02-22,215.54,174.70,152.19,157.50,106.75,175.08
2022-02-21,215.66,174.70,152.17,157.46,106.72,175.11
2022-02-20,215.69,174.74,152.10,157.31,106.78,175.12
2022-02-19,215.81,174.77,152.00,157.27,106.77,175.16
2022-02-18,215.87,174.80,151.87,157.12,106.79,175.17
2022-02-17,215.82,174.79,151.75,157.04,106.85,175.13
2022-02-16,215.82,174.75,151.67,156.90,106.85,175.10
2022-02-15,215.83,174.74,151.52,156.79,106.81,175.07
2022-02-14,216.00,174.79,151.44,156.71,106.75,175.12
2022-02-13,216.04,174.74,151.30,156.64,106.73,175.10
2022-02-12,215.94,174.75,151.26,156.69,106.68,175.05
2022-02-11,215.98,174.76,151.14,156.67,106.66,175.04
2022-02-10,215.92,174.74,151.01,156.61,106.67,174.99
2022-02-09,215.83,174.75,150.91,156.53,106.68,174.94
2022-02-08,215.89,174.77,150.81,156.45,106.62,174.94
2022-02-07,215.95,174.81,150.66,156.38,106.63,174.96
2022-02-06,216.03,174.81,150.53,156.25,106.64,174.96
2022-02-05,216.03,174.84,150.37,156.18,106.67,174.94
2022-02-04,215.99,174.82,150.28,156.08,106.65,174.91
2022-02-03,215.93,174.79,150.17,156.00,106.61,174.84
2022-02-02,215.81,174.77,150.07,155.91,106.58,174.76
2022-02-01,215.79,174.76,149.93,155.81,106.59,174.73
2022-01-31,215.79,174.73,149.83,155.75,106.56,174.70
2022-01-30,215.76,174.73,149.71,155.62,106.56,174.66
2022-01-29,215.98,174.72,149.46,155.47,106.50,174.69
2022-01-28,215.98,174.72,149.46,155.47,106.50,174.69
2022-01-27,215.96,174.70,149.35,155.32,106.50,174.65
2022-01-26,215.91,174.62,149.19,155.15,106.49,174.57
2022-01-25,215.92,174.66,149.05,155.06,106.44,174.55
2022-01-24,215.94,174.62,149.00,154.95,106.40,174.52
2022-01-23,215.89,174.65,148.85,154.84,106.39,174.48
2022-01-22,215.85,174.68,148.76,154.66,106.36,174.44
2022-01-21,215.81,174.71,148.65,154.56,106.33,174.41
2022-01-20,215.71,174.66,148.53,154.42,106.29,174.33
2022-01-19,215.61,174.65,148.41,154.32,106.23,174.25
2022-01-18,215.56,174.68,148.34,154.17,106.23,174.22
2022-01-17,215.53,174.66,148.20,154.05,106.45,174.21
2022-01-16,215.52,174.69,148.10,153.95,106.43,174.19
2022-01-15,215.52,174.69,147.95,153.95,106.15,174.13
2022-01-14,215.63,174.89,147.82,153.91,106.12,174.18
2022-01-13,215.57,174.86,147.74,153.79,106.13,174.13
2022-01-12,215.46,174.80,147.65,153.69,106.09,174.05
2022-01-11,215.36,174.77,147.54,153.60,106.07,173.99
2022-01-10,215.31,174.73,147.42,153.45,106.06,173.93
2022-01-09,215.28,174.68,147.35,153.30,106.03,173.88
2022-01-08,215.21,174.68,147.26,153.19,106.02,173.83
2022-01-07,215.13,174.65,147.16,153.09,106.00,173.77
2022-01-06,215.04,174.59,147.07,153.01,105.97,173.70
2022-01-05,214.94,174.55,146.98,152.92,105.97,173.63
2022-01-04,214.84,174.49,146.89,152.83,105.95,173.56
2022-01-03,214.76,174.45,146.78,152.70,105.92,173.49
2022-01-02,214.68,174.40,146.67,152.61,105.89,173.42
2022-01-01,214.57,174.35,146.58,152.51,105.88,173.35
